COD_PRODUTO;PRODUTO;CLASSIFICACAO
010201;CAMERA MIRAGE DIGITAL SUMMER 5MP SD512;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
024253;PULSO PLAST PULSEIRA PLAST DIGIT MO3900A/8Y;CELULAR RELOGIO RELOGIO
A02657;PO SX PARL 14MM MB 1.50P BX MET. FEY;ALMOXARIFADO
009922;ARM.DUPLO MEDIO P VID 81092;MOVEIS COZINHA COZINHA COMPACTA
005728;SANDUICHEIRA HG 610 X BLACK E DECKER;ELETRO ELETROPORTATEIS SANDUICHEIRA
014541;AUDIO PH 91 L PHILCO;TECNOLOGIA AUDIO SOM PORTATIL
A01928;LAMPADA  67 - 12V PHILIPS;ALMOXARIFADO
016904;CJ.MESA JULIANA C 6C.BR CZ T.GTO 1
G0002J;GE1 IPHONE;SERVICOS GARANTIA
006064;REFRIGERADOR 1 P.BRASTEMP 303L BRO 31A;ELETRO ELETRODOMESTICO REFRIGERADOR
011723;SONY ERICSSON W205 VIVO;CELULAR SMARTPHONE
015796;PRANCHA FASHION;ELETRO BELEZA E SAUDE PRANCHA
019837;MESA FORMATO CR OD.1.30X1.30 VID WG;MOVEIS SALA DE JANTAR MESA
007829;REFRIGERADOR DOMEST 2 PTS 330L CRD 34 BR;ELETRO ELETRODOMESTICO LAVADORA
012368;CAMA CASAL ALEGRA TB MP;MOVEIS QUARTO CAMA
020201;SMARTPHONE SONY XPERIA T3 D5106 DB BRANCO;CELULAR SMARTPHONE SMARTPHONE
016496;AUDIO PB120R C CD MP3 USB RS;TECNOLOGIA AUDIO SOM PORTATIL
004951;CONJUNTO INTEG. SS 8200;TECNOLOGIA TV E VIDEO TV
020111;MESA COMPUTADOR IRIS FREIJO ORO;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
004100;FERRO VAPOR F 363;ELETRO ELETROPORTATEIS FERRO
014255;G.ROUPA 2002 3PTS.3GAV.533 TB MP;MOVEIS QUARTO GUARDA-ROUPA
019861;CADEIRA PRINCESA CRAQUELAD BR 36 XADREZ PT CZ;MOVEIS COZINHA MESA
A02398;MANG ISAM 3/4 C/FIO DE ACO;ALMOXARIFADO
A02695;CAPA PARA DESPESA;ALMOXARIFADO
015220;ASPIRADOR 12V AV1250LA BR BLACK E DECKER;ELETRO ELETROPORTATEIS ASPIRADOR
015680;G.ROUPA 5136 3PTS.CORRER 6G.PES MB 551 BR PIN;MOVEIS QUARTO GUARDA-ROUPA
014066;M.BENZ 710 ANO 2002 2002;ALMOXARIFADO
A00237;ESTABILIZADOR 430VA SMS;ALMOXARIFADO
011666;LG GB190 DB;CELULAR SMARTPHONE
013079;RACK ARGENTUM C ROD.210 09 IMB CLARO PT;MOVEIS SALA DE ESTAR RACK
020740;G.ROUPA CRISTAL 03 PTS CORRER ROB BCO;MOVEIS QUARTO GUARDA-ROUPA
019436;SAMSUNG GALAXY S5 G900M AZUL;CELULAR SMARTPHONE SMARTPHONE
024091;PULSO METAL PULSEIRA ACO QZ 2115KRY/1A TECHNO;CELULAR RELOGIO RELOGIO
018966;ESTANTE FURNAS CINZA PRETO;MOVEIS SALA DE ESTAR ESTANTE
S0000N;SERVICO DE PROTECAO SEM DESCULPAS24;SERVICOS SEGURO CELULAR
004783;COLCHAO D 33 BONAVITA BO ESP 188 X 078 X 15;MOVEIS COLCHAO COLCHAO
021064;BICICLETA 26 21M C SUSP JUMPER BOY PTO;LAZER ESPORTE E FITNESS BICICLETA
024686;ESTOFADO BOA VISTA 3 LUGARES VERMELHO;MOVEIS SALA DE ESTAR SOFA
016480;TV LED 32P TC L32X5B;TECNOLOGIA TV E VIDEO SMART TV
024632;CAIXA AMPLIFICADA CM07;TECNOLOGIA AUDIO CAIXA AMPLIFICADA
006346;COLCHAO INFANTIL           7161   02 ANO;MOVEIS COLCHAO COLCHAO
016627;CRISTAL BALCAO CANTO 198 CAPUCCINO;MOVEIS COZINHA ARMARIO
016206;RACK RENDA CAPUCCINO PRETO AM;MOVEIS SALA DE ESTAR RACK
020038;ROUPEIRO TROIA 6 PTS.C ESP PES IMB IMB PT;MOVEIS QUARTO GUARDA-ROUPA
006405;REFRIGERADOR 2 P.BRASTEMP 340L BRM 34B;ELETRO ELETRODOMESTICO REFRIGERADOR
011929;ESTANTE ISADORA IMP V.RICA MF;MOVEIS SALA DE ESTAR ESTANTE
008249;LIQUIDIFICADOR L 03;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
008880;BONO BASIC AP 1.38X1.880X0.2000;MOVEIS COLCHAO COLCHAO
015055;CRIADO IMPERIAL TB MP;MOVEIS QUARTO CRIADO MUDO
016516;CONJ.DE SOM 3X1 AKX 54 650W;TECNOLOGIA AUDIO MINI SYSTEM
023113;CAD HOLANDA CROMADA DE COR 22 DE METAL;MOVEIS COZINHA CADEIRA
019199;BANCADA LONDON 5605 CARV VITRO FD BRILHO;MOVEIS SALA DE JANTAR APARADOR
RHC00302;CAMISA 103 MAS   GER CD   P;ALMOXARIFADO
A00527;JOGO 02 C INOVARE ALT BRI PRE SUE BG T36 BR;MOVEIS TERRACO CADEIRA
020023;MONITOR LED 21 MLE2251F;TECNOLOGIA INFORMATICA IMPRESSORA
015719;MESA DE CANTO MERIDA MAP TB;MOVEIS SALA DE ESTAR MESA DE CENTRO
021792;COLCHAO BLACK WHITE 30CM X198CM X158CM;MOVEIS COLCHAO COLCHAO
011397;ESCADA EM ALUMINIO 4 DEGRAUS;ELETRO UTILIDADES DOMESTICAS ESCADA
007767;ESPREMEDOR DE FRUTAS BELLAGIO BR;ELETRO ELETROPORTATEIS ESPREMEDOR
RHA00448;CALCA 207 MAS   GER LOJ CORP   48;ALMOXARIFADO
023256;HOME VENEZA A160XL135XP35CM MEL;MOVEIS SALA DE ESTAR HOME
023972;FORNO CMA20BBBNA 20L CONSUL BRANCO 220V;ELETRO ELETRODOMESTICO FORNO
A02815;SELANTE CINZA ORB336;ALMOXARIFADO
009809;MP3 PLAYER C RADIO FM
A02462;DIAFRAGMA DO CILINDRO DIANTEIRO 12P;ALMOXARIFADO
009789;TEL S FIO M6210 MOTOROLA 2.4 GHZ;CELULAR CELULAR CELULAR
008521;MINI SYSTEM MS 7320 CD LET;TECNOLOGIA AUDIO MINI SYSTEM
006722;TV EM CORES KV 25 FV12B;TECNOLOGIA TV E VIDEO TV
020234;CELULAR BLU ARIA II T179 DB PRETO VERMELHO;CELULAR CELULAR CELULAR
A01322;CORREIA ESTRIAD;ALMOXARIFADO
018319;LG OPTIMUS L1 II DUAL BCO TIM;CELULAR SMARTPHONE SMARTPHONE
017741;SAMSUNG E1203 CINZA TRES CHIPS;CELULAR CELULAR CELULAR
008856;SONY ERICSSON J100i OI;CELULAR SMARTPHONE
011915;VENTILADOR TURBO WIND 30 CM MESA PT;ELETRO AR E VENTILACAO VENTILADOR
021247;ROUPEIRO ILHEUS 12165 C PE EBANO TOUCH ANIS;MOVEIS QUARTO GUARDA-ROUPA
019700;ROUPEIRO 2 PTS.CECILIA C.ESP CZ PT BR;MOVEIS QUARTO GUARDA-ROUPA
017361;ORGANIZADOR GIOVANA CZ;MOVEIS QUARTO SAPATEIRA
024689;SMART TV LED 65" SAMSUNG 4K UN65MU6100;TECNOLOGIA TV E VIDEO SMART TV
004512;FERRO VAPOR 420;ELETRO ELETROPORTATEIS FERRO
011680;MAQUINA DE COSTURA JX 2050 VD PORT;ELETRO UTILIDADES DOMESTICAS MAQUINA DE COSTURA
014507;GUARDA ROUPA 18443 8 TB MAPLE;MOVEIS QUARTO GUARDA-ROUPA
021252;ROUPEIRO DANUBIO C PE BCO;MOVEIS QUARTO GUARDA-ROUPA
018617;BARBEADOR BD4150BR  BLACK E DECKER;ELETRO BELEZA E SAUDE BARBEADOR ELETRICO
014648;LG GS290 COOKIE PLUS DB PRETO;CELULAR SMARTPHONE
011104;CAMERA DIGITAL C 1013;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
013702;HOME THEATER C HDMI PHILCO PHT 660 N;TECNOLOGIA TV E VIDEO HOME THEATER
015246;CAMA CASAL MONTELO GR GR PT;MOVEIS QUARTO CAMA
012560;CAMA SOLTEIRO 015 NCECL MF;MOVEIS QUARTO CAMA
014571;CONJ.C 4 CAD. ALINE 2
013476;BALCAO LIVIA BR;MOVEIS COZINHA COZINHA COMPACTA
022707;COMODA JUMA CAPUCCINO;MOVEIS QUARTO COMODA
A01036;BUCHA DE BORRACHA DA MOLA;ALMOXARIFADO
023047;LAVADORA LAC 09;ELETRO ELETRODOMESTICO LAVADORA
013792;CONJ.EST.DE CANTO 2 1 2 LUG.MEMPHIS 648X649;MOVEIS SALA DE ESTAR SOFA
019586;PAINEL EVEREST CARVALHO;MOVEIS SALA DE JANTAR APARADOR
017357;MESA DE CENTRO FLORATA CZ PT;MOVEIS SALA DE ESTAR MESA DE CENTRO
012830;CAMA BIBOX SOLTEIRO CATALAO MF;MOVEIS QUARTO CAMA
S0003C;SERVICO DE PROTECAO SEM DESCULPAS1B;SERVICOS SEGURO CELULAR
006167;TELEFONE TC 500 PEROLA S CH B.E DECKER;ELETRO ELETROPORTATEIS TELEFONE
008259;CAMA CASAL ROBERTA 1.40;MOVEIS QUARTO CAMA
024199;PULSO DR PULSEIRA DR QZ CO2036CN/4X CONDOR;CELULAR RELOGIO RELOGIO
018146;ESTANTE LEA C PES PEROLA PT;MOVEIS SALA DE ESTAR ESTANTE
020310;MULTIUSO ROMA 2P PRETO CINZA;MOVEIS AREA DE SERVICO ARMARIO MULTIUSO
024839;RACK QUEBEC CARVALHO BERLIM 570;MOVEIS SALA DE ESTAR RACK
014670;NOKIA C3 DB GRAFITE;CELULAR SMARTPHONE
A02629;PORCA 12X 1.75 MA CL.8;ALMOXARIFADO
019372;APPLE IPHONE 5S 16GB BCO C DOURADO TIM;CELULAR SMARTPHONE SMARTPHONE
022112;COZINHA GABRIELA 2125 TEKA BROWN;MOVEIS COZINHA COZINHA COMPACTA
014376;G.ROUPA LINE 6 PTS 4 GAV TB/MP VILA RICA;MOVEIS QUARTO GUARDA-ROUPA
022506;ROTEADOR RE057 150MBPS 1 ANT.4PTS.LAN;TECNOLOGIA INFORMATICA ROTEADOR
022769;LAVA-LOUCAS 12 SERV.BLF12AEBNA ALL BLACK 220V;ELETRO ELETRODOMESTICO LAVA-LOUCAS
011311;SPRINT POLICIA 165;LAZER BRINQUEDOS MINI VEICULO
A02448;ARANHA TRAVA;ALMOXARIFADO
012045;CAMA CASAL ANDREIA MG;MOVEIS QUARTO CAMA
008348;ARM.FIRM.BASIC ESPECIAL 1
020348;ROUPEIRO TROIA 6 PTS.C ESP PES MAL MAL ROV;MOVEIS QUARTO GUARDA-ROUPA
012813;REFRIGERADOR DC37;ELETRO ELETRODOMESTICO REFRIGERADOR
RHA00156;CALCA 201 MAS   OPERAC   56;ALMOXARIFADO
A00180;MEMORIA 512MB DDR;ALMOXARIFADO
016409;HUAWEI G3620 BLACK DB;CELULAR SMARTPHONE
023252;ROUPEIRO 3PTS LAGUNA C.ESP MEL;MOVEIS QUARTO GUARDA-ROUPA
003279;FOGAO 03 BOCAS ALTO;ELETRO ELETRODOMESTICO FOGAO
017714;MESA CENTRO ARTELY CARIBE CZ PT;MOVEIS SALA DE ESTAR MESA DE CENTRO
009116;CAFETEIRA 12 XIC.DCM 1000X BR  BLACK E DECKER;ELETRO ELETROPORTATEIS CAFETEIRA
015979;RACK CLIP CARV VITTRO PRETO;MOVEIS SALA DE ESTAR RACK
A00738;CARTUCHO RC 203;ALMOXARIFADO
017820;CAD.FRANCINE B 314 B 313 AC.CZ ENC.FL CZ;MOVEIS SALA DE JANTAR CADEIRA
A00358;BOTA BRACOL SEM BIQUEIRA   40;ALMOXARIFADO
014853;LC LIA BALCAO 1.20 C TPO 107 BR PT;MOVEIS COZINHA COZINHA COMPACTA
014999;MESA LATERAL FLORATA IMB PT;MOVEIS SALA DE ESTAR MESA DE CENTRO
016981;CAMA SOLTEIRO YARA TB BR MP LX;MOVEIS QUARTO CAMA
021406;CABECEIRA ISABELA CASAL PLUS BC PT BC;MOVEIS QUARTO CABECEIRA
006108;APARELHO CELULAR 7160;CELULAR SMARTPHONE
023171;BOX 172 RICHESSE NEW 6PES 30 X 203 X 096CM;MOVEIS COLCHAO BASE BOX
A00622;CALHA 08 TOMA DAS 220V   TECFIX;ALMOXARIFADO
A01214;CORDA TRANCADA PP 15MTS 8MM ITACORDA;ALMOXARIFADO
S00005;SERVICO DE PROTECAO SEM DESCULPAS 3;SERVICOS SEGURO CELULAR
014961;ARM.PANELEIRO DUPLO 2PT VID 87089 A PR AMER;MOVEIS COZINHA PANELEIRO
A01427;CARCACA DO TRAMBULADOR DA CX;ALMOXARIFADO
010177;NOKIA 1208 CLARO;CELULAR SMARTPHONE
022404;CAMA CASAL LIVIA MOCCACINO;MOVEIS QUARTO CAMA
011632;GPS PORTATIL HBN 4310;TECNOLOGIA AUTOMOTIVOS AMPLIFICADOR
019675;COMODA MADRI 5GAV.IPE AMD;MOVEIS QUARTO COMODA
019955;BALCAO NAPOLI 1200X820X470MM BC PT ONIX;MOVEIS COZINHA BALCAO
019569;PAINEL ROMA CAPUCCINO CAFE;MOVEIS SALA DE ESTAR PAINEL PARA TV
022957;CAB.BOX 1.38 FRAMAR ELISA CINZA CINZA/PRETO;MOVEIS QUARTO CABECEIRA
024831;PAINEL BANCADA FIT CARVALHO VIENA 575;MOVEIS SALA DE ESTAR HOME
012051;CAMA CASAL DALIA MF;MOVEIS QUARTO CAMA
A00589;POST IT   76 X 76;ALMOXARIFADO
006910;SECADOR SICCARE II;ELETRO BELEZA E SAUDE SECADOR DE CABELO
014985;MINI SYSTEM MS 840 D DECK CD 20 FXS PROG AM F;TECNOLOGIA AUDIO MINI SYSTEM
A01399;TERMINAL ENCAIXE FEMEA;ALMOXARIFADO
022473;TABLET NB234 MINI MS45 S 4
023034;COLC OLIMPIQUE MAXX 32 X 1
024146;PULSO DR PULSEIRA DR QZ AL2035FDV/K4L ALLORA;CELULAR RELOGIO RELOGIO
012947;CAMA CASAL MONTREAL TB MP;MOVEIS QUARTO CAMA
024064;PULSO DR PULSEIRA DR QZ 2015BYYTD/4B TECHNOS;CELULAR RELOGIO RELOGIO
016120;NOKIA ASHA 302 VIVO;CELULAR SMARTPHONE
023418;BALCAO PIA 1200 DALIA 194 RIJO/CHAMPAGNE;MOVEIS COZINHA BALCAO
010757;DVD SD 5090;TECNOLOGIA TV E VIDEO DVD
A02672;OLEO TRANSMISSAO 90W;ALMOXARIFADO
A01364;CJ. ROLETE C/PINO ROLAMENTO EMBREAGEM;ALMOXARIFADO
023098;KIT DE COZINHA COMPACTA NATURE/BR AZULEJO MAD;MOVEIS COZINHA KIT
010292;LG KM500;CELULAR SMARTPHONE
A02452;PALHETA AV SC112/142 MB712/914 VW92/99B 21403;ALMOXARIFADO
A00144;XXXXXXXXXXXXXXXXXXX;ALMOXARIFADO
019195;SISTEMA PARABOLICA 1
013499;COMODA SAPATEIRA 1PT.IMP V.RICA AMD PT;MOVEIS QUARTO COMODA
013332;KID CROSS AZUL 628;LAZER BRINQUEDOS MINI VEICULO
013697;ROUPEIRO 4 PTS.ESSENCIAL BR MP;MOVEIS QUARTO GUARDA-ROUPA
023912;ROUPEIRO 6P UNIQUE 4489 C/ESP CARV STV;MOVEIS QUARTO GUARDA-ROUPA
A01490;JOGO CABO VELA KOMBI 1.4 2006/CAFLEX STV38;ALMOXARIFADO
016790;ROUPEIRO 4 PTS.LIATRIS 3 GAV BR LILAS A;MOVEIS QUARTO GUARDA-ROUPA
022277;CONSERVADOR VERTICAL CV520R 220V BR ESMALTEC;ELETRO ELETRODOMESTICO FREEZER
002435;TV COR 16 C C. REMOTO MOD. C 1;TECNOLOGIA TV E VIDEO TV
017586;CAIXA AMPLIFICADA MULTIMIDIA CM 01 BIV.;TECNOLOGIA AUDIO CAIXA AMPLIFICADA
013045;ROUPEIRO 6 PTS.LINHARES TB TB MP;MOVEIS QUARTO GUARDA-ROUPA
014397;CONJ.EST.CASSILDA 3X2 LUG.10006X10008;MOVEIS SALA DE ESTAR SOFA
012390;CAMA SOLTEIRO SANDIEGO TB MP;MOVEIS QUARTO CAMA
A00655;EXTENSAO RULER4 5MT;ALMOXARIFADO
S0003M;SERVICO DE PROTECAO SEM DESCULPAS2C;SERVICOS SEGURO CELULAR
016609;PAINEL ROMA CARVALHO VULCANO PT;MOVEIS SALA DE ESTAR PAINEL PARA TV
A00323;LACRE PRETO;ALMOXARIFADO
011849;ORGANIZADOR GIOVANA MG;MOVEIS QUARTO SAPATEIRA
011194;CAMERA C BATERIA EC ES 55;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
010470;REFRIGERADOR DOMEST 2PTS.263 CRM33EBBNA;ELETRO ELETRODOMESTICO REFRIGERADOR
011569;FORNO MICROONDAS BMS 35 BBBNA 30L BR220 60HZ;ELETRO ELETRODOMESTICO FORNO
017966;MULTILASER NEW TOUCH EX ROSA BRANCO;CELULAR SMARTPHONE
A01050;MANCAL DE BORRACHA;ALMOXARIFADO
018437;G.ROUPA 2002 3PTS 3GAV.615 IMP TEKA NOGAL;MOVEIS QUARTO GUARDA-ROUPA
009295;REFRIGERADOR KDN 47 A 220V.BR;ELETRO ELETRODOMESTICO LAVADORA
014416;NOTEBOOK IS1414 PDCT4500 2G1X10K6 HD320 W7ST;TECNOLOGIA INFORMATICA NOTEBOOK
010176;GRAVADOR DE DVD SEMP SD RX38D;TECNOLOGIA TV E VIDEO DVD
014033;UNID.INT.COND CA SPL MIST PI 07 F 220 60;ELETRO AR E VENTILACAO AR CONDICIONADO
A00798;CORREIA EM V 13AV1020 GOOD YEAR;ALMOXARIFADO
013761;ESTOFADO 2.3LUG.BIANCA;MOVEIS SALA DE ESTAR SOFA
014170;BICICLETA POWER ARO 20 PRETA AZUL;LAZER ESPORTE E FITNESS BICICLETA
006490;LIQUIDIFICADOR LIQFAZ RI 1760   70 WALITA;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
024181;PULSO DR PULSEIRA DR QZ CO2035KNV/4A CONDOR;CELULAR RELOGIO RELOGIO
013073;ESTANTE ASTRA 1110 09 IMB CLARO PT;MOVEIS SALA DE ESTAR ESTANTE
009781;DVD PLAYER SLIM COMPACTO UNIVERSAL DV 408;TECNOLOGIA TV E VIDEO DVD
RHC00907;CAMISA 113 MAS   GER LOJ CORP   XGG;ALMOXARIFADO
009040;LAVADORA SEMI AUTOMATICA 4.3 KG CWN 04 ABBNA;ELETRO ELETRODOMESTICO LAVADORA
015346;TELEFONE SEM FIO TS60V BR ARTICO   CZ;ELETRO ELETROPORTATEIS TELEFONE
020605;MESA COMPUTADOR SUPER OFFICE NOCE;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
011727;COLC.ROBUSTUS SPRING 138 X 52 BLACK;MOVEIS COLCHAO COLCHAO
007576;MOTOROLA C151 CLARO CARTAO;CELULAR SMARTPHONE
008042;CRIADO BEATRIZ 1 GAV;MOVEIS QUARTO CRIADO MUDO
011090;LIQUIDIFICADOR L 12;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
015537;MESA DE CENTRO MERIDA CARV BI PT;MOVEIS SALA DE ESTAR MESA DE CENTRO
200005;REV ACUST PU ADES 30MM;SEM USO
001633;VENTILADOR COMER.4P00C BR PT SPR LS;ELETRO AR E VENTILACAO VENTILADOR
007601;MINI SYSTEM MS 6610 CD LET;TECNOLOGIA AUDIO MINI SYSTEM
023930;AEREO 80CM 1P BASCULANTE CG200 TKA-VERMONT;MOVEIS COZINHA ARMARIO
018873;RADIO RELOGIO BRITANIA BS68;TECNOLOGIA TV E VIDEO DVD
010521;TV 20 POL.C 2040 CENTURY;TECNOLOGIA TV E VIDEO TV
020663;ALCATEL OT 1041 PTO;CELULAR SMARTPHONE
024668;LIQUID.LN54 POWER MAX 1000W VERM;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
023703;ROUPEIRO 3PTS CORRER 6GAV NOGAL C/PES MADEIRA;MOVEIS QUARTO GUARDA-ROUPA
S00095;SERVICO DE PROTECAO TOTAL 109;SERVICOS SEGURO CELULAR
021234;SMARTPHONE MOTOROLA MOTO X PLAY 16GB 1563 PRE;CELULAR SMARTPHONE SMARTPHONE
G0000L;GE1 LAV. LOUCAS 6 PESSOAS;SERVICOS GARANTIA
016625;CRISTAL BALCAO 1
A00370;POSITIVO MASTER;ALMOXARIFADO
021987;CAMA SOLTEIRO ITAGUARA NOG FOSC;MOVEIS QUARTO CAMA
014216;CONJUNTO DE PANELAS VPA218;ELETRO UTILIDADES DOMESTICAS
023561;KIT 6PTS 2306 720 TX DAKOTA/TX BRANCO;MOVEIS COZINHA KIT
024471;BEBEDOURO BC21B ELECTROLUX;ELETRO ELETRODOMESTICO BEBEDOURO
015562;KIT LIANA 1
013514;CONJ.ESTOFADO VITORIA AZUL;MOVEIS SALA DE ESTAR SOFA
014152;CARRINHO BERCO 2150 STAR VERMELHO;LAZER BEBES CARRINHO DE BEBE
017121;CAMERA DMC FH2 LB P PANASONIC RS;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
014940;ARM.SIMPLES MEDIO PT DIR VID 81052 A AMERICA;MOVEIS COZINHA COZINHA COMPACTA
023830;ROUPEIRO ERIKA 06 PTS C/ESP PEROLA;MOVEIS QUARTO GUARDA-ROUPA
024202;PULSO DR PULSEIRA DR QZ CO2036DC/K4C CONDOR;CELULAR RELOGIO RELOGIO
A00817;FILTRO DE OLEO PSL332 TECFIL - HR;ALMOXARIFADO
020011;CONJ.DE SOM 3X1 SC AKX18 LBK;TECNOLOGIA AUDIO MINI SYSTEM
S0006K;SERVICO DE PROTECAO TOTAL 16;SERVICOS SEGURO CELULAR
017221;HOME 7285 42 SUPREMO EBANO TATO PRETO;MOVEIS SALA DE JANTAR APARADOR
015914;NOKIA ASHA 200 BR CLARO;CELULAR SMARTPHONE
018088;ESTANTE DUNA FREIJO CITTA TITANIUM;MOVEIS SALA DE ESTAR ESTANTE
004633;CONDICIONADOR AR FRIO 18000F;ELETRO AR E VENTILACAO AR CONDICIONADO
014952;ARM.BALCAO TRIPLO 3GV.TAMPO 608 82238 A VD AM;MOVEIS COZINHA BALCAO
016298;ARM VIVACE IPLDA 70 PRF COIMBRA CZ;MOVEIS COZINHA PANELEIRO
012295;CRIADO MUDO NETO TB BR;MOVEIS QUARTO CRIADO MUDO
A00825;FLANGE TRACAO MB 1622 - ELETRONICO;ALMOXARIFADO
024457;BICICLETA A-26 ATLANTIS MAD PRETA FOSC AT261Q;LAZER ESPORTE E FITNESS BICICLETA
023973;FORNO BMS45BBBNA 30L BRASTEMP BRANCO 220V;ELETRO ELETRODOMESTICO FORNO
A02686;PA SX AC MA 8.8 10X60 RI ET;ALMOXARIFADO
S00022;SERVICO DE PROTECAO SEM DESCULPAS71;SERVICOS SEGURO CELULAR
013105;ESTANTE SHARI BRANCO NEGRO ZEBRADO;MOVEIS SALA DE ESTAR ESTANTE
021716;COMODA 5GAV.570-31 PRETO/BRANCO;MOVEIS QUARTO COMODA
018521;ARM CAPRICEIPH 80 CVM CZILC;MOVEIS COZINHA COZINHA COMPACTA
018735;CAMA SOLTEIRO SELENA IMBUIA PRETO;MOVEIS QUARTO CAMA
A02142;RETROVISOR GOL 99/4 PORTAS FIXO LD;ALMOXARIFADO
023553;COZINHA COMPACTA SHEILA 723 TX RAVELLO/TX BR;MOVEIS COZINHA COZINHA COMPACTA
021509;BOX 106 25CMX188CMX88CM WHITE;MOVEIS COLCHAO CAMA BOX
017171;CABECEIRA BRESCIA BOX 1
008086;GRADIENTE STRIKE BLUE OI AVULSO CONTA;CELULAR SMARTPHONE
024546;CAIXA TERMICA 34L 25108161 AZUL;ELETRO UTILIDADES DOMESTICAS CAIXA TERMICA
019856;MESA PRINCESA BR RD 0.85 VID BRANCO;MOVEIS COZINHA MESA
012450;POLTRONA JATIUCA DUNNASPLAST VERDE LIMAO;MOVEIS TERRACO POLTRONA
A00570;ACUCAR REFINADO UNIAO PREMIUM SC400X2
017721;BALCAO VICENZA MDF BR PT ONIX;MOVEIS COZINHA COZINHA COMPACTA
C00003;CP DISCO RIGIDO 600GB 15K
013681;FOGAO 4BC. ILHA BELA SUP CHAMA 4011 BR;ELETRO ELETRODOMESTICO FOGAO
020197;SAMSUMG GALAXY  S5 G900MD AZUL DB;CELULAR SMARTPHONE SMARTPHONE
014867;SECADOR MYSTERE 3300 ASS0308;ELETRO BELEZA E SAUDE SECADOR DE CABELO
019182;DVD PLAYER DVT C 131 BARBIE USB;TECNOLOGIA TV E VIDEO DVD
020093;COLC HOUSE D 20 138 X 17;MOVEIS COLCHAO COLCHAO
011800;EXTRATOR CENTRIFUGO DE SUCOS VCA 1711 220V;ELETRO ELETROPORTATEIS PROCESSADOR DE ALIMENTOS
011573;TV 19 LCD TL 470;TECNOLOGIA TV E VIDEO TV
018511;CAMA MARCELA CASAL BC PT;MOVEIS QUARTO CAMA
023240;ROUPEIRO 6 PTS.BEATRIZ C.ESP MEL;MOVEIS QUARTO GUARDA-ROUPA
023295;SMARTPHONE QBEX FLIX BV2000 DB CINZA;CELULAR SMARTPHONE SMARTPHONE
012557;CAMA CASAL REF 090 NCECL TB MP;MOVEIS QUARTO CAMA
022994;POLTRONA PLATINUM PRETA PLAST HOME;MOVEIS TERRACO POLTRONA
019082;ESTANTE HOME DAKAR PLUS CITA PT;MOVEIS SALA DE ESTAR ESTANTE
011722;ESTANTE JOAO PESSOA TB BR;MOVEIS SALA DE ESTAR ESTANTE
015300;MESA C 6 CAD.T MARMORE 1
199994;PRESTACAO SERVICO COMUNICACAO   FILIAIS;ALMOXARIFADO
002420;TV COR 14 ULTRAVISION PC 1432;TECNOLOGIA TV E VIDEO TV
021520;LIQUID.LN3S FACICLIC JUICE 220V BR ARNO;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
012118;CJ.06CAD.MD14 1250 P.ARDOSIA 1
012145;MESA COMPUTADOR CORDOBA IMB PT;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
021968;BOX LINE OCM 290 BLUETOOTH;TECNOLOGIA AUDIO CAIXA AMPLIFICADA
021701;ROUPEIRO ROMA 4P.PES 8440-31 PT/BR;MOVEIS QUARTO GUARDA-ROUPA
A01043;PARAFUSO A M10X130 DIN 4626 DBL;ALMOXARIFADO
024196;PULSO METAL PULSEIRA DR QZ CO2035KSR/K4D COND;CELULAR RELOGIO RELOGIO
A00808;FILTRO DE AR LX0910 METAL LEVE - MB 710;ALMOXARIFADO
014639;HUAWEI G7010 DB PRETO;CELULAR SMARTPHONE
024418;AEREO HORIZ G1AH60601P0001 60X60 1P BR;MOVEIS COZINHA ARMARIO
015882;RACK EVIDENCE TB MAP;MOVEIS SALA DE ESTAR RACK
020251;SONY XPERIA Z3 DUAL D6633 BCO DB;CELULAR SMARTPHONE
024594;KIT COZ LETICIA 1
A01691;LENTE LANTERNA TRAS BIZ/POP SPORTIVE;ALMOXARIFADO
021412;MODULO TURIM COM CAMA PLUS BR;MOVEIS QUARTO GUARDA-ROUPA
019304;BLU CLICK LITE T171I ROSA;CELULAR SMARTPHONE
009279;DVD PLAYER MARCA PRECISION MOD PVD 502P;TECNOLOGIA TV E VIDEO DVD
A00217;CANETA ESFEROGRAFICA PRETA;ALMOXARIFADO
024653;CAPA SILICONE J7 PRIME G610 5
018270;IMP.SAM.LASER MONO ML 2165 XAZ;TECNOLOGIA INFORMATICA IMPRESSORA
022402;CAMA SOLTEIRO RAISSA AVELA/CAST;MOVEIS QUARTO CAMA
A01028;LAMPADA INCANDESCENTE G 24V 5W DIN72601;ALMOXARIFADO
018432;CAMA SOLTEIRO GUARA BR PT;MOVEIS COLCHAO COLCHAO
