COD_PRODUTO;PRODUTO;CLASSIFICACAO
016751;FORNO MICRO ONDAS NN ST352 WRUK;ELETRO ELETRODOMESTICO FORNO
012393;MESA CENTRO DUQUESA TB BR;MOVEIS SALA DE ESTAR MESA DE CENTRO
017387;SAMSUNG GALAXY SIII I9300 VERMELHO DB;CELULAR SMARTPHONE
010515;RACK DUBAI NOTAVEL;MOVEIS SALA DE ESTAR RACK
018850;BLU SPARK TV S131T ROSA;CELULAR SMARTPHONE
019717;COMODA TULIPA S SAP BR PT;MOVEIS QUARTO COMODA
012512;MESA REDONDA LEBLON BR;MOVEIS TERRACO MESA
S0004A;SERVICO DE PROTECAO SEM DESCULPAS8E;SERVICOS SEGURO CELULAR
014860;PERSONALITA PANELEIRO DUPLO 131 BR SUC;MOVEIS COZINHA COZINHA COMPACTA
022761;MICROONDAS 38L BMJ38ARBNA 220/60HZDCRE2014/74;ELETRO ELETRODOMESTICO FORNO
024163;PULSO DR PULSEIRA DR QZ AL2115AH/4K ALLORA;CELULAR RELOGIO RELOGIO
007158;ARM ACO ITANOVA SMART IPLD D BR;MOVEIS COZINHA COZINHA COMPACTA
020404;CADEIRA DE ALUMINIO INFANTIL PINTADA RS;MOVEIS TERRACO CADEIRA
A02774;BANDEJA FIXA 19 1UX450MM;ALMOXARIFADO
017062;COMODA INFANTIL EMOCAO BR BR PRATA;MOVEIS QUARTO COMODA
022155;SMARTPHONE ZTE C341 KIS DUAL DB PRETO;CELULAR SMARTPHONE SMARTPHONE
020819;FOGAO 6BC.FS CLEAN BFS6NABUNA BR;ELETRO ELETRODOMESTICO FOGAO
019823;SMARTPHONE SAMSUNG GAL PKT 2 DUOS G110 DB BCO;CELULAR SMARTPHONE SMARTPHONE
010861;CHAPA RED ION BIVOLT;ELETRO BELEZA E SAUDE PRANCHA
011608;SAMSUNG M2710 TIM;CELULAR SMARTPHONE
019755;BANCADA SUPENSA JULIA CAFE C AMARULA;MOVEIS SALA DE JANTAR APARADOR
024791;BERCO INFANTIL MINI CAMA MEL AMADEIRADO RUSTI;MOVEIS QUARTO BERCO
023235;MULTIUSO LAGES 2PTS C.PES PEROLA;MOVEIS AREA DE SERVICO ARMARIO MULTIUSO
018591;TABLET M PRO 7 NB032 3G;TECNOLOGIA INFORMATICA TABLET
016964;SAMSUNG GALAXY Y DUOS S6102 CLARO;CELULAR SMARTPHONE
017222;ARM ACO IPLDP 70 D STILO PLUS PT M1 2 2 2;MOVEIS COZINHA COZINHA COMPACTA
019977;CORTADOR DE CABELO C FIO HC3410;ELETRO BELEZA E SAUDE CORTADOR DE CABELO
012197;ARM.BALCAO TRIPLO 3GAV.TAMPO 607 82238 PT;MOVEIS COZINHA COZINHA COMPACTA
S00047;SERVICO DE PROTECAO SEM DESCULPAS5E;SERVICOS SEGURO CELULAR
014306;CAMERA DE VIDEO DE IMAGENS DSC W510 P;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
013214;MP4 2GB FIT C FM 1
021304;CONJ.LANKASTER 1X1 4C.VALEN.CAST PT TC37 S.MA;MOVEIS SALA DE JANTAR CONJUNTO MESA
002123;TV EM CORES 20 CTP 6792;TECNOLOGIA TV E VIDEO TV
012661;SUPERKIT CRISTALEIRA BR LJ;MOVEIS COZINHA ARMARIO
020555;TABLET NB164 M7 3G 2CAM 8GB DIG 2CHIPS RS;TECNOLOGIA INFORMATICA TABLET
011695;BOX LINE OCM 1415 USB  DELAY MULTI USE ACTIVE;TECNOLOGIA AUDIO SOM PORTATIL
008988;LDP SUGGAR TOP MOD 2043 220V;ELETRO ELETRODOMESTICO LAVADORA
009269;MINI SYSTEM MS-7530 MU CD LET SEMP TCL;TECNOLOGIA AUDIO MINI SYSTEM
018135;ESTANTE SAFIRA C PES CARV VULCANO PT;MOVEIS SALA DE ESTAR ESTANTE
017085;X TRACTION 237;LAZER BRINQUEDOS MINI VEICULO
A01594;TOMADA;ALMOXARIFADO
006050;MINI SYSTEM MS 6233 LET;TECNOLOGIA AUDIO MINI SYSTEM
A01990;DETERGENTE AUTOMOTIVO GOL LAVA AUTOS 5L;ALMOXARIFADO
016902;CJ.MESA JULIANA C 6C.GF CZ T.GTO 1
A00282;ACUCAR CRISTAL;ALMOXARIFADO
G0001O;GE1 TV 3D PLASMA;SERVICOS GARANTIA
G0008E;GE2 TV 3D LED;SERVICOS GARANTIA
A02022;14-185/60 R148 2H TL ENERGY XM;ALMOXARIFADO
016611;ESTANTE ISA C PES CAPUCCINO PT;MOVEIS SALA DE ESTAR ESTANTE
021347;CONJ.VITORIA 1
A01863;ARRUELA TRAVA DA PONTA DE EIXO DO FREIO A  AR;ALMOXARIFADO
A02731;MEMRIA DDR4 4GB NOTEBOOK;ALMOXARIFADO
020207;BANCADA VITTA NOG GRIGIO;MOVEIS SALA DE ESTAR RACK
019018;SAMSUNG GALAXY S4 MINI I9192 PTO TIM;CELULAR SMARTPHONE
010185;LG MG370 DB;CELULAR SMARTPHONE
S0005E;SERVICO DE PROTECAO TOTAL 34;SERVICOS SEGURO CELULAR
021958;FERRO RI1432-44 WALITA;ELETRO ELETROPORTATEIS FERRO
023723;I3G1-120 AMENDOA-BANCO-PTOLC;MOVEIS COZINHA PANELEIRO
